0.9274	0.5042	0.2019	0.3764	0.4678	0.1238	0.2652	0.0762	0.6860	0.6811	0.8634	0.0714	0.0468	0.8806	0.0681	0.4864	0.1040	0.4058	0.8631	0.9785	0.5555	0.9506	0.8184	0.2700	0.3657	dk
0.9110	0.0166	0.7658	0.8350	0.0141	0.5030	0.6215	0.8253	0.0848	0.7041	0.7448	0.4128	0.7099	0.7159	0.9995	0.8321	0.3897	0.1185	0.2590	0.5712	0.0429	0.0345	0.6537	0.8179	0.8591	a
0.8609	0.3680	0.3989	0.2752	0.7170	0.5673	0.4142	0.7473	0.3151	0.1138	0.8965	0.8488	0.5809	0.2267	0.5695	0.4822	0.2518	0.4570	0.4518	0.8693	0.5219	0.1456	0.9137	0.4656	0.5536	ak
0.4215	0.7608	0.0524	0.3458	0.0950	0.8126	0.8751	0.9370	0.8324	0.3782	0.5870	0.8784	0.8146	0.7136	0.6856	0.2089	0.8788	0.5646	0.1243	0.7881	0.9510	0.8257	0.6818	0.7517	0.2247	ftr
0.4196	0.6854	0.8285	0.4292	0.9529	0.9969	0.4541	0.8503	0.2893	0.8375	0.3864	0.2130	0.0375	0.5819	0.2945	0.3219	0.0146	0.3093	0.3914	0.9932	0.9108	0.9564	0.9137	0.5174	0.2870	dbn
0.0278	0.9766	0.2633	0.8044	0.8930	0.1573	0.3548	0.6020	0.4045	0.0004	0.0856	0.2909	0.0066	0.3942	0.2298	0.6913	0.3867	0.0640	0.4205	0.1879	0.1158	0.0636	0.5094	0.9056	0.1005	hlnf
0.6637	0.3614	0.1923	0.0243	0.9503	0.9946	0.0868	0.7477	0.0639	0.4061	0.3611	0.3789	0.5695	0.4812	0.6918	0.6096	0.3645	0.9007	0.5172	0.0599	0.5600	0.8984	0.7022	0.0363	0.6149	rt
0.2259	0.0747	0.0804	0.9062	0.3442	0.3764	0.8589	0.0239	0.0261	0.0722	0.5982	0.2998	0.1086	0.5725	0.7077	0.8974	0.9037	0.0379	0.5151	0.7855	0.2438	0.2804	0.1371	0.6225	0.9624	gwwo
0.3484	0.7882	0.8804	0.5836	0.5942	0.2689	0.3870	0.6844	0.7606	0.4143	0.9145	0.4381	0.5869	0.5026	0.0008	0.1609	0.0189	0.1936	0.2144	0.5255	0.7060	0.8166	0.7202	0.9241	0.3896	ejfw
0.3194	0.6091	0.7448	0.0860	0.7600	0.0072	0.1266	0.2220	0.7813	0.4203	0.7519	0.4818	0.7939	0.5017	0.6833	0.9353	0.7359	0.9225	0.4618	0.8118	0.3264	0.7527	0.8462	0.6028	0.9878	yu
0.2395	0.1639	0.6212	0.4596	0.0605	0.7641	0.5278	0.0684	0.8578	0.0076	0.8380	0.4825	0.9919	0.8897	0.3522	0.6713	0.4158	0.4662	0.8051	0.6421	0.3463	0.1656	0.4460	0.9159	0.0537	sveh
0.1665	0.0494	0.3583	0.3537	0.6137	0.0113	0.3238	0.0537	0.2021	0.2298	0.5635	0.4835	0.4402	0.3225	0.0361	0.0521	0.0475	0.6822	0.9182	0.6448	0.6774	0.4130	0.3345	0.8313	0.8900	aer
0.6757	0.2783	0.6234	0.5463	0.7440	0.2061	0.0901	0.1782	0.8815	0.9348	0.2303	0.8529	0.5291	0.3289	0.9480	0.8522	0.5234	0.0575	0.4812	0.3978	0.9003	0.6091	0.1073	0.3486	0.2023	g
0.4776	0.8982	0.3205	0.3619	0.3009	0.1488	0.3694	0.4565	0.4624	0.7925	0.6649	0.1836	0.5224	0.8055	0.2172	0.9818	0.3642	0.4577	0.8375	0.6724	0.7686	0.6380	0.0536	0.2977	0.8773	h
0.4771	0.7043	0.7065	0.3139	0.3524	0.4806	0.3886	0.1604	0.9098	0.4580	0.2083	0.9317	0.8660	0.8046	0.4525	0.0912	0.9836	0.9598	0.3842	0.3714	0.1688	0.9627	0.0252	0.4397	0.3445	hnv
0.8493	0.9535	0.4666	0.2003	0.4156	0.0097	0.3008	0.1565	0.9252	0.8182	0.4306	0.3473	0.5818	0.6812	0.5566	0.1946	0.6999	0.7851	0.4934	0.3634	0.8078	0.2825	0.1381	0.4536	0.9394	qosw
0.8150	0.0268	0.6711	0.0700	0.7180	0.6428	0.9509	0.3056	0.0374	0.8540	0.8578	0.1563	0.7473	0.1795	0.5791	0.5394	0.4998	0.8511	0.6433	0.7950	0.8512	0.0236	0.5507	0.2361	0.6509	yscn
0.6264	0.7697	0.2318	0.0237	0.9980	0.7966	0.8343	0.8848	0.0734	0.9847	0.5436	0.6532	0.3061	0.7392	0.0484	0.3010	0.8714	0.0866	0.0351	0.0774	0.6053	0.0036	0.3614	0.2593	0.6428	p
0.5541	0.0061	0.0829	0.0100	0.7345	0.7642	0.0022	0.4721	0.5092	0.8420	0.8738	0.0199	0.7082	0.0132	0.4687	0.6170	0.2869	0.7661	0.9374	0.9251	0.5685	0.5507	0.5016	0.1679	0.5735	vo
0.7352	0.6938	0.2952	0.6845	0.5098	0.5794	0.8395	0.3698	0.7872	0.9368	0.7949	0.9453	0.9735	0.5924	0.0858	0.7309	0.9499	0.2886	0.1857	0.6446	0.9504	0.5396	0.8652	0.3438	0.7721	q
0.6657	0.3004	0.4889	0.7612	0.4885	0.1613	0.4160	0.6619	0.7989	0.4707	0.4034	0.7258	0.0959	0.1194	0.4008	0.9490	0.5684	0.0897	0.6139	0.5961	0.3883	0.5902	0.2261	0.4883	0.0868	d
0.4053	0.8213	0.6687	0.5777	0.7402	0.0145	0.5994	0.9382	0.9101	0.6147	0.8006	0.0346	0.5515	0.7773	0.3974	0.7223	0.7150	0.7876	0.9557	0.5285	0.1105	0.1675	0.0435	0.8412	0.1655	ra
0.9917	0.2808	0.8963	0.6351	0.7787	0.5513	0.5060	0.5083	0.9174	0.7040	0.6338	0.3134	0.6733	0.5689	0.0067	0.3691	0.6911	0.9778	0.3677	0.0571	0.4200	0.8866	0.6033	0.6412	0.5748	mzqd
0.5472	0.1301	0.7966	0.2137	0.3381	0.5777	0.3386	0.9575	0.3340	0.7612	0.8849	0.3252	0.0142	0.7831	0.0859	0.4351	0.0206	0.3961	0.9281	0.8214	0.8851	0.7637	0.9979	0.1954	0.1736	gdqy
0.7641	0.5850	0.6090	0.5818	0.8816	0.2681	0.0703	0.9787	0.5291	0.0400	0.3859	0.2246	0.5936	0.2248	0.6927	0.4616	0.7854	0.2371	0.8370	0.2321	0.2377	0.0378	0.4970	0.4074	0.1050	jqvj
0.2247	0.4663	0.3325	0.0270	0.2409	0.2156	0.6700	0.0246	0.2420	0.9341	0.9017	0.1462	0.7982	0.9007	0.1557	0.1355	0.3922	0.0842	0.6726	0.9388	0.7420	0.5120	0.4986	0.5682	0.6708	ajd
0.3141	0.4603	0.0270	0.0299	0.6328	0.5460	0.9776	0.6162	0.8198	0.4813	0.7901	0.9840	0.5744	0.7647	0.6104	0.9204	0.6642	0.0295	0.1421	0.7469	0.3501	0.2211	0.7410	0.0980	0.4463	pbvf
0.0158	0.6428	0.6518	0.2633	0.5921	0.1358	0.7492	0.1265	0.9325	0.7358	0.1303	0.6510	0.1769	0.5535	0.6752	0.6047	0.3184	0.8002	0.3132	0.9686	0.0852	0.8468	0.8477	0.7763	0.7077	oc
